tema,objetivo,variable,n_articulos,reportado,pct_reportado,categorias_top
T1,O1,fidelidad_visual_y_funcional_reportada,38,22,57.9,alta (14); media (4); media (no alta fidelidad) (1); alta (visual) y alta (funcional) (1)
T1,O1,modalidad_acceso,38,14,36.8,presencial obligatorio + acceso virtual complementario (6); exclusivamente remoto (6); Acceso 24/7 (2)
T1,O1,sistema_real_representado,38,36,94.7,planta de manufactura (6); planta de manufactura (complejo de fundición de aluminio) (1); laboratorio de instrumentación y medición (1); planta de manufactura (línea de producción de ruedas de automóvil) (1)
T1,O1,tecnologia_inmersiva_especifica,38,21,55.3,"Unity 3D (3); Unity Game Engine (2); Oculus Rift S, Oculus Touch, Unity (1); virtual reality headsets (1)"
T1,O1,tipo_entorno_dt,38,37,97.4,híbrido físico-virtual (18); inmersivo (RV/RA/MR) (11); remoto (4); virtual puro (3)
T2,O1,arquitectura_capas_modulos,26,16,61.5,"Descripción de capas (física, integración, digital, aplicación), módulos, microservicios o arquitectura general del sistema (2); Capas: física (sensores IoT, Arduino), integración (edge computing, 5G), digital (cloud-based DT platform), aplicación (user dashboard) (1); digital pyramid model aimed to connect the automation pyramid with its counterpart in the digital environment and showed the interaction at all levels of the business model (1); Arquitectura basada en OPC UA y Node-RED, con capas de integración (AAS como capa de abstracción), control distribuido (IEC 61499) y simulación (Factory IO). (1)"
T2,O1,componente_fisico,26,23,88.5,"Equipos, sensores, actuadores, PLC, robots, máquinas CNC, microcontroladores (Arduino/ESP32), FPGA, bancos de prueba, edificios o ausencia (3); Equipos, sensores, actuadores, microcontroladores (Arduino/ESP32) (1); PLC, robots, AGV, sensores, actuadores (1); PLC, sensors, actuators, robots (1)"
T2,O1,componente_virtual,26,23,88.5,"Motor 3D (Unity/Unreal), plataforma de simulación (Tecnomatix, NX MCD, Simcenter, Emulate3D), modelo BIM/GIS, CAD/CAE, dashboard (6); Motor 3D (Unity/Unreal) (3); Motor 3D (Unity/Unreal), plataforma de simulación (MATLAB), dashboard (1); NX MCD, TIA Portal, HMI (1)"
T2,O1,grado_sincronizacion_bidireccionalidad,26,20,76.9,"near-real-time (8); tiempo real (8); asíncrona (2); tiempo real, bidireccional automática (1)"
T2,O1,protocolos_estandares_comunicacion,26,23,88.5,"OPC UA (3); OPC UA, MQTT, TCP/IP, EtherCAT, REST, CoAP, Asset Administration Shell (AAS), IEC 61131-3/61499, BIM/PLM (2); 5G, IoT-based communication protocol (1); AS.i, Profibus, Profinet (1)"
T2,O1,tipo_gemelo_digital_taxonomia_kritzinger,26,18,69.2,digital twin completo (bidireccional automático) (10); digital shadow (7); Digital model (1)
T3,O1,datos_entrenamiento_o_inferencia,11,6,54.5,"datos sintéticos, datasets industriales (2); Datos industriales masivos (1); sensores DT (1); Sensores DT, logs estudiantiles, datos sintéticos, datasets industriales (1)"
T3,O1,funcion_de_la_ia,11,8,72.7,"diagnóstico, mantenimiento predictivo (2); Predicción, mantenimiento predictivo (1); Predicción, diagnóstico, mantenimiento predictivo (1); Predicción, diagnóstico, mantenimiento predictivo, retroalimentación automatizada al estudiante, personalización adaptativa, generación de contenido, validación de tareas, corrección automática (1)"
T3,O1,metricas_desempeno_ia,11,3,27.3,"Accuracy, precision, recall, F1 (1); fidelidad de surrogate, latencia de inferencia, frame rate (1); Accuracy, F1-score, Recall (1)"
T3,O1,tipo_ia_integrada,11,8,72.7,"Machine learning supervisado/no supervisado (2); Machine learning supervisado (1); deep learning (1); Machine learning, grafos de conocimiento, IA generativa (LLM/GAN) (1)"
T4,O2,alineacion_estandares_industriales,47,10,21.3,"ABET (3); ISA-95 (1); IEC 61499, IEC 61131-3, OPC UA, AAS (1); OPC-UA (1)"
T4,O2,colaboracion_industria_academia,47,10,21.3,"sí (1); Alianzas con empresas, co-desarrollo de currículo, validación con sector productivo (1); Sí (1); Alianzas con empresas, co-desarrollo de currículo, prácticas profesionales (1)"
T4,O2,competencias_i40_i50_desarrolladas,47,38,80.9,"IIoT, manufactura inteligente, automatización, analítica de datos, colaboración humano-máquina (I5.0) (3); IIoT, automatización, integración de sistemas, colaboración humano-máquina (I5.0) (2); IIoT, manufactura inteligente, automatización, analítica de datos, integración de sistemas, colaboración humano-máquina (I5.0) (2); ciberseguridad industrial (1)"
T4,O2,dominio_ingenieria,47,46,97.9,manufactura (12); automatización (9); mecatrónica (5); química (4)
T5,O2,andamiaje_y_rol_docente,47,36,76.6,"facilitador (17); facilitador/supervisor (9); Guías, scripts, tutoriales, feedback estructurado (5); Guías, scripts, tutoriales (1)"
T5,O2,duracion_intervencion,47,18,38.3,16 semanas (3); dos semestres (2); un semestre académico (1); 32 credit hours (1)
T5,O2,grado_participacion_estudiantil,47,42,89.4,experimentación activa (25); proyecto completo de ciclo de vida (12); exploración guiada (4); construcción del DT por estudiantes (1)
T5,O2,modalidad_ensenanza,47,38,80.9,presencial (20); blended (5); híbrida (4); Presencial (4)
T5,O2,modelo_pedagogico,47,43,91.5,aprendizaje activo (23); aprendizaje experiencial (14); learning factory (2); PBL (1)
T5,O2,nivel_educativo,47,45,95.7,Pregrado (31); mixto (6); posgrado (maestría/doctorado) (5); formación técnica/profesional (3)
T5,O2,programa_curso_asignatura,47,34,72.3,Weather Monitoring Use Case for DT Framework Testing (1); Smart Manufacturing senior technical elective (1); Simulation of Automated Production Systems (1); industrial networked manufacturing and application courses (1)
T6,O3,amenazas_validez_y_calidad_evidencia,35,20,57.1,"tamaño muestral pequeño, ausencia de aleatorización, sesgo de selección, corto plazo, ausencia de medición de retención/transferencia, madurez del prototipo (2); Tamaño muestral pequeño (1); Tamaño muestral pequeño (24 estudiantes), corto plazo (un módulo), ausencia de medición de retención/transferencia, madurez del prototipo (limitado a un robot y un escenario). (1); tamaño muestral pequeño (N=30), sesgo de selección (muestreo voluntario), efecto novedad, influencia del instructor, ausencia de medición de retención/transferencia, ausencia de grupo control, madurez del prototipo (caja negra, sin diagnóstico granular) (1)"
T6,O3,comparador_o_condicion_control,35,29,82.9,sin comparador (9); Clase tradicional (8); pre/post intra-sujeto (6); grupo control (sin intervención DT+IoT) (1)
T6,O3,diseno_investigacion,35,28,80.0,diseño/desarrollo (8); cuasi-experimento (7); estudio de caso (5); mixed-methods (3)
T6,O3,instrumentos_evaluacion,35,30,85.7,"encuestas estandarizadas (UTAUT/UTAUT2, SUS, NASA-TLX, TTF), entrevistas semi-estructuradas, learning analytics, logs (3); encuestas estandarizadas (pre- y post-actitud) (1); encuestas estandarizadas (Likert), entrevistas semi-estructuradas (open-ended responses), observación (1); Encuesta UTAUT adaptada (5 constructos: PU, PEOU, SI, FC, ITU), preguntas abiertas, observaciones directas, tasa de finalización de ejercicios (1)"
T6,O3,resultados_afectivos_y_engagement,35,23,65.7,"Motivación, aceptación tecnológica, satisfacción, autoeficacia, colaboración, engagement (behavioral/cognitive/emotional), carga cognitiva (2); Los estudiantes estuvieron comprometidos y encontraron el material relevante para su carrera; los participantes de la industria mostraron mayor interés en explorar Smart Manufacturing. (1); Engagement: 63.6% calificó 5 (muy comprometido), 36.4% calificó 4. Satisfacción: 77.3% calificó la actividad como muy interesante (5). Relevancia profesional: 86.4% calificó como altamente relevante (5). (1); Percepción positiva excepcional: FC media=4.62, PU media=4.41, ITU media=4.46, PEOU media=4.58, SI media=4.48 (escala Likert 1-5) (1)"
T6,O3,resultados_cognitivos,35,22,62.9,"Mejora significativa en la comprensión conceptual: antes de la actividad, 72.7% calificó su comprensión entre 1 y 3; después, solo 9.1% en ese rango, con 90.9% calificando 4 o 5. (1); Mejora en comprensión de lógica combinacional y secuencial, visualización de conceptos avanzados (Full Adder, XOR, Flip-Flops) (1); 63% improvement in course evaluation (1); Intervention group: pre-test M=56.3, SD=12.4; post-test M=74.8, SD=11.6; mean gain +18.5; Control group: pre-test M=55.9, SD=11.8; post-test M=60.2, SD=12.3; mean gain +4.3; between-groups Δ=14.2 (1)"
T6,O3,resultados_procedimentales,35,17,48.6,"Tasa de finalización: 100% en compuertas básicas, 93.3% en lógica combinacional, 80% en secuencial, 73.3% en contadores/sumadores (1); Reduction in cycle time: manual press 18%, automated 22% compared to hammering; DPMO reduction to zero; yield increase from 81% to 100% (1); Intervention group outperformed control in hands-on skills; sensor integration error rates decreased from 27% week 3 to 11% week 14; cloud synchronization success rates increased from 68% to 92% (1); 42% higher success rate in process parameter optimization tasks (1)"
T6,O3,significancia_estadistica_y_tamano_efecto,35,14,40.0,"Correlaciones Pearson: PU-rendimiento r=0.81 (p<0.001), ITU-rendimiento r=0.85 (p<0.001), PEOU-rendimiento r=0.58 (p<0.01), SI-rendimiento r=0.62 (p<0.001). IC 95% para constructos UTAUT: límite inferior >3.0 (1); Significativo al 5% (α=0.05), sin reporte de tamaño del efecto (1); Pre-post intervention: t(139)=14.72, p<.001; Control: t(59)=1.88, p=.065; Between-groups: t(198)=8.94, p<.001; Cohen's d=0.91 (large effect size); Error rate reduction: t=6.42, p=.001; Cloud sync improvement: t=5.87, p<.001 (1); r = 0.72, p < 0.01 (1)"
T6,O3,tamano_muestral_y_perfil,35,24,68.6,"10 estudiantes y 18 empleados (1); N total: 24 estudiantes de posgrado; 22 respuestas de encuesta (91.67%); perfil: estudiantes de posgrado en Ingeniería de Manufactura Avanzada; organizados en equipos de 2 o 3. (1); N=30, 90% con experiencia previa en lógica digital, 70% con experiencia en Minecraft, nivel académico no especificado, criterios de inclusión/exclusión no mencionados (1); N total: 40, senior engineering students (1)"
T7,O4,accesibilidad_y_equidad,21,18,85.7,acceso remoto geográfico (6); acceso remoto geográfico; inclusión de estudiantes con discapacidad; contextos de bajos recursos (3); acceso remoto geográfico (implícito por uso de VR y digital twin para superar limitaciones físicas) (1); Acceso remoto 24/7; inclusión geográfica; mejora en tasas de finalización (70% vs 56%) y calificaciones (27.4/30 vs 25/30); eliminación de emisiones por desplazamiento (1)
T7,O4,contexto_geografico_aplicacion,21,21,100.0,"Europa (Dinamarca, Estonia, Italia) (2); Rusia, región de Krasnoyarsk (Siberia); relevante para Sur Global por ser país en desarrollo (1); Italia (Universidad de Nápoles Federico II); relevante para Sur Global o regiones en desarrollo implícitamente por reducción de costos y barreras (1); Brasil (Manaus, Amazonas) (1)"
T7,O4,continuidad_educativa_post_covid,21,8,38.1,"mención explícita a continuidad durante pandemia (2); mencionada (la pandemia obstaculiza la implementación, pero se usa para educación remota) (1); Mención explícita a la pandemia COVID-19 como impulsor de la digitalización y la necesidad de continuidad educativa remota (1); mencion explícita a transición a online durante pandemia (1)"
T7,O4,costo_implementacion,21,6,28.6,"bajo (3); alto (grandes costos de creación y funcionamiento, financiado por grandes empresas metalúrgicas) (1); CAPEX: ~100,000 €; OPEX: ~17,000 €/año; costo por estudiante cuatro veces menor en el laboratorio inmersivo (1); bajo (menos de 400 euros por brazo robótico, excluyendo PC y visor VR) (1)"
T7,O4,indicadores_sostenibilidad_ambiental,21,3,14.3,"Consumo energético: 7,000 kWh/año; CO2 (energía): 1.75 tCO2/año; CO2 (desplazamientos): ≈ 0 tCO2/año; WEEE (7 años): ≈ 200 kg; comparativa con laboratorio tradicional: el modelo inmersivo reduce costos, consumo, emisiones y WEEE a menos del 40% del referencia (1); LCA, uso de materiales sostenibles (1); Emisiones CO2 (ops + construction) reducción 0-12% en régimen extremo (1)"
T7,O4,modelo_licenciamiento,21,8,38.1,open-source (6); open-source (hardware y software) (1); propietario (1)
T8,O4,barreras_institucionales_y_docentes,28,7,25.0,"Necesidad de capacitación docente, resistencia al cambio curricular, falta de gobernanza, ausencia de alineación industria-academia, infraestructura institucional limitada (5); lack of resources, teachers' inadequate expertise (1); Resistencia al cambio curricular, falta de gobernanza, infraestructura institucional limitada, necesidad de capacitación docente (1)"
T8,O4,barreras_pedagogicas_y_curriculares,28,6,21.4,"Brecha de transferencia virtual-físico, validez ecológica limitada, descontextualización del aprendizaje, mala alineación competencias-actividades-evaluación (4); Descontextualización del aprendizaje, mala alineación competencias-actividades-evaluación (1); La validación del sistema y la evaluación centrada en el usuario se presentan con frecuencia sin distinguir claramente el rendimiento técnico de los resultados de capacitación medibles. (1)"
T8,O4,barreras_tecnicas,28,12,42.9,"Fidelidad insuficiente del modelo, interoperabilidad limitada, latencia, jitter, escalabilidad, complejidad de sincronización, vulnerabilidades de ciberseguridad (5); model accuracy, connection to uncalibrated entities, errors in transferring data or codes between the DT and the real system, data acquisition and validation, data fusion accuracy, the computational process, and time to analyze data and send responses to the physical twin (1); Problemas de interoperabilidad con OPC y otros fallos de funcionamiento (1); Muchos enfoques se basan en modelos completamente simulados sin acoplamiento en tiempo real con controladores físicos industriales como PLC. Otros enfatizan la visualización inmersiva sin descripciones detalladas de las capas de comunicación o mecanismos de sincronización. (1)"
T8,O4,condiciones_facilitadoras_declaradas,28,7,25.0,"Compromiso institucional, alianzas industriales, capacitación previa, infraestructura mínima (4); investment in infrastructure, faculty development, curricular alignment, industry partnerships, sustainable financing models, policy integration (1); sound technical infrastructure and the constant maintenance of VR equipment; right infrastructure, support, and integration (1); compromiso institucional, alianzas industriales, capacitación previa, infraestructura mínima (1)"
T8,O4,escalabilidad_y_transferibilidad_reportada,28,10,35.7,"the layer's architectural formulation allows seamless integration of alternative laboratory setups, industrial workcells, or educational manufacturing platforms with equivalent sensing, control, and communication characteristics. Thus, the Physical Manufacturing Layer is applicable and reproducible across institutions with diverse infrastructural resources (1); potentially might be replicable in similar contexts across sub-Saharan Africa and globally (1); Propuesta de crear un laboratorio mecatrónico virtual para usar los gemelos en otros cursos (1); El marco prioriza plataformas de control y visualización industriales ampliamente adoptadas para facilitar la replicación en laboratorios académicos con diferentes restricciones de recursos y admite escalamiento incremental hacia procesos más complejos, mayor número de usuarios o funcionalidades de monitoreo extendidas. (1)"
