key,cite,year,tipo_pub,pais,n_temas,T1,T2,T3,T4,T5,T6,T7,T8,entorno,kritzinger,kritzinger_lbl,sync,sync_lbl,has_ai,ai_families,has_immersive,pedagogia,nivel,dominio,participacion,ind_academia,diseno,diseno_lbl,effect_size,inferential,has_comparator,cog_reported,proc_reported,aff_reported,validity_threats,licencia_open,costo,sostenibilidad,post_covid,barreras_tec,barreras_inst,barreras_ped
Z3CB6MW8,"Nikolaev et al., 2018",2018,Conference proceedings,Russia,2,0,0,0,1,1,0,0,0,,,,,,0,,0,Active learning,Graduate,aeroespacial,proyecto completo de ciclo de vida,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
4S7PWRLU,"Toivonen et al., 2018",2018,Conference proceedings,Finland,5,1,1,0,1,1,0,0,1,Hybrid physical-virtual,2,Digital shadow,3,Real-time,0,,0,Active learning,Undergraduate,manufactura,exploración guiada,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
PG2CBLTM,"Promyoo et al., 2019",2019,Conference proceedings,USA,4,0,1,0,1,1,0,0,1,,,,,,0,,0,Experiential,Undergraduate,manufactura,proyecto completo de ciclo de vida,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
95CLH3FL,"Cortes et al., 2020",2020,Conference proceedings,Mexico,2,0,1,0,1,0,0,0,0,,2,Digital shadow,1,Asynchronous,0,,0,,,"manufactura, automatización, mecatrónica, sistemas",,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
44H5ZW4K,"Liljaniemi et al., 2020",2020,Journal article,NR,4,0,0,0,1,1,1,0,1,,,,,,0,,0,Active learning,Undergraduate,automatización,proyecto completo de ciclo de vida,0,2,Case study / survey / pilot,0,0,0,0,0,1,1,,,0,0,1,1,0
XMATM5GI,"Cuiffi et al., 2021",2021,Conference proceedings,Estados Unidos,4,0,1,0,1,1,1,0,0,,,,,,0,,0,Active learning,Mixed,manufactura,experimentación activa,0,,,0,0,1,0,0,1,1,,,0,0,0,0,0
AUYHBWNM,"Fuertes et al., 2021",2021,Journal article,Spain,4,1,1,1,1,0,0,0,0,Hybrid physical-virtual,2,Digital shadow,1,Asynchronous,0,,1,,,automatización,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
H4UKEM4U,"Keaveney et al., 2021",2021,Conference proceedings,Ireland,3,0,1,0,1,1,0,0,0,,,,3,Real-time,0,,0,Active learning,Mixed,manufactura,experimentación activa,1,,,0,0,0,0,0,0,0,,,0,0,0,0,0
EA8ZWUTY,"Baranov et al., 2022",2022,Journal article,Россия,3,1,0,0,1,0,0,1,0,Immersive (VR/AR/MR),,,,,0,,1,,,metalurgia,,0,,,0,0,0,0,0,0,0,,High,0,1,0,0,0
8BL4J2HZ,"Eriksson et al., 2022",2022,Conference proceedings,Sweden,4,1,1,0,1,0,0,0,1,Hybrid physical-virtual,1,Digital model,,,0,,0,,,automatización,,0,,,0,0,0,0,0,0,0,,,0,0,1,0,0
6SLCII6M,"Mourtzis et al., 2022",2022,Journal article,Greece,4,1,0,0,0,1,0,1,1,Hybrid physical-virtual,,,,,0,,1,Experiential,Undergraduate,,experimentación activa,0,,,0,0,0,0,0,0,0,,,0,1,0,1,1
UGRYS3CL,"Pang et al., 2022",2022,Journal article,China,4,1,0,0,0,1,1,1,0,Remote,,,,,0,,1,ADDIE,Undergraduate,,experimentación activa,0,2,Case study / survey / pilot,0,0,0,0,0,1,0,False,,0,1,0,0,0
RGEVSHH7,"Hagedorn et al., 2023",2023,Conference proceedings,Germany,3,0,0,0,1,1,0,1,0,,,,,,0,,0,Project-based (PBL),Graduate,mecatrónica,proyecto completo de ciclo de vida,1,,,0,0,0,0,0,0,0,,,1,1,0,0,0
DSC46KTS,"Heidarinejad et al., 2023",2023,Conference proceedings,USA,3,1,0,0,1,1,0,0,0,Immersive (VR/AR/MR),,,,,0,,1,Active learning,Undergraduate,civil/construcción,experimentación activa,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
3ZV8INI7,"Morris et al., 2023",2023,Conference proceedings,United States,3,0,0,0,1,1,0,0,1,,,,,,0,,0,Active learning,Undergraduate,mecatrónica,proyecto completo de ciclo de vida,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
79J2MH8T,"Posio et al., 2023",2023,Conference proceedings,Finland,4,1,0,0,1,1,1,0,0,Immersive (VR/AR/MR),,,,,0,,1,Experiential,Technical/vocational,HVAC,experimentación activa,0,2,Case study / survey / pilot,0,0,0,1,1,1,1,,,0,0,0,0,0
YZHXUBN7,"Riess et al., 2023",2023,Conference proceedings,Germany,4,1,0,0,0,1,1,1,0,Hybrid physical-virtual,,,,,0,,0,Active learning,Undergraduate,,proyecto completo de ciclo de vida,0,1,Conceptual / design-development,0,0,0,0,0,0,1,True,,0,0,0,0,0
P242H59T,"Tjahyadi et al., 2023",2023,Journal article,Indonesia,4,1,1,0,1,0,0,0,1,Remote,2,Digital shadow,3,Real-time,0,,0,,,control,,0,,,0,0,0,0,0,0,0,,,0,0,1,0,0
HM4FMFEF,"Usman et al., 2023",2023,Conference proceedings,Saudi Arabia,4,1,0,0,1,1,1,0,0,Hybrid physical-virtual,,,,,0,,1,Experiential,Undergraduate,civil/construcción,experimentación activa,0,1,Conceptual / design-development,0,0,1,1,1,1,1,,,0,0,0,0,0
XNXBTF6L,"Häfner et al., 2024",2024,NR,Germany,3,1,0,0,1,1,0,0,0,Hybrid physical-virtual,,,,,0,,1,Experiential,Technical/vocational,automatización,exploración guiada,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
4TBGS9I4,"Ning et al., 2024",2024,Journal article,China,3,0,0,0,1,1,1,0,0,,,,,,0,,0,Project-based (PBL),Graduate,civil/construcción,proyecto completo de ciclo de vida,0,4,Quasi-experiment,0,0,1,1,1,1,1,,,0,0,0,0,0
3ZZDNR2Z,"Szántó et al., 2024",2024,Journal article,Hungary,5,1,1,0,1,1,0,0,1,Hybrid physical-virtual,3,Digital twin,3,Real-time,0,,0,Experiential,Undergraduate,automatización,experimentación activa,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
ASVWVQ3C,"Tarng et al., 2024",2024,Journal article,Taiwan,5,1,1,0,0,1,1,0,1,Hybrid physical-virtual,3,Digital twin,4,Bidirectional,0,,1,,,,NR,0,4,Quasi-experiment,1,1,1,1,0,0,0,,,0,0,0,0,0
ZMKNFA6J,"Terkaj et al., 2024a",2024,Conference proceedings,Italy,6,1,1,0,0,1,1,1,1,Hybrid physical-virtual,,,,,0,,0,,Mixed,,NR,0,,,0,0,0,0,0,0,0,,,0,1,1,0,0
BY9KWQ9X,"Terkaj et al., 2024b",2024,Journal article,Italy,5,1,0,0,1,1,1,1,0,Virtual-only,,,,,0,,0,Active learning,Undergraduate,manufactura,experimentación activa,0,1,Conceptual / design-development,0,0,0,0,0,0,0,True,,0,0,0,0,0
GHSMNFS4,"Zhou et al., 2024",2024,Journal article,Australia,4,1,0,0,1,1,0,0,1,Immersive (VR/AR/MR),,,,,0,,1,Active learning,Undergraduate,química,construcción del DT por estudiantes,0,,,0,0,0,0,0,0,0,,,0,0,1,0,0
CCRR3WV2,"Barletta et al., 2025",2025,Conference proceedings,Italy,3,1,0,1,1,0,0,0,0,,,,,,0,,0,,,ciberseguridad,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
6XH9DD3P,"Boltsi et al., 2025",2025,Journal article,Greece,3,0,1,0,1,1,0,0,0,,2,Digital shadow,3,Real-time,0,,0,Experiential,Undergraduate,control,proyecto completo de ciclo de vida,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
8HY5G5V9,"Chen et al., 2025",2025,Conference proceedings,China,4,1,1,0,1,0,0,0,1,Hybrid physical-virtual,3,Digital twin,3,Real-time,0,,0,,,manufactura,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
6EEVCR6P,"Cruz Salazar et al., 2025",2025,Conference proceedings,Colombia,4,0,1,1,1,0,0,0,1,,,,3,Real-time,1,Classical ML,0,,,automatización,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
XRUBK3B6,"Fu et al., 2025",2025,Conference proceedings,China,3,0,0,1,1,1,0,0,0,,,,,,1,Classical ML,0,Experiential,Undergraduate,manufactura,experimentación activa,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
TVN4S7DC,"Gallego et al., 2025",2025,NR,Spain,4,1,1,0,1,0,0,1,0,Immersive (VR/AR/MR),3,Digital twin,3,Real-time,0,,1,,,robótica,,0,,,0,0,0,0,0,0,0,True,Low,0,0,0,0,0
G8SP5KLS,"Guo et al., 2025",2025,Journal article,USA,3,1,1,0,0,0,0,1,0,Hybrid physical-virtual,,,3,Real-time,0,,0,,,,,0,,,0,0,0,0,0,0,0,True,,0,1,0,0,0
RF7G2HYJ,"Hu et al., 2025",2025,Conference proceedings,France,6,1,1,1,1,1,0,1,0,Learning factory,3,Digital twin,3,Real-time,1,Deep/neural,0,Learning factory,Mixed,manufactura,experimentación activa,0,,,0,0,0,0,0,0,0,True,Low,0,0,0,0,0
UDMDFTPK,"Kumarasinghe et al., 2025",2025,Conference proceedings,Sri Lanka,5,1,1,0,0,1,0,1,1,Hybrid physical-virtual,3,Digital twin,3,Real-time,0,,1,Learning factory,Undergraduate,,NR,0,,,0,0,0,0,0,0,0,,Low,0,0,0,0,0
ZWFNABKK,"Li, 2025",2025,Journal article,China,4,0,0,1,1,1,1,0,0,,,,,,1,Classical ML; Generative; Knowledge graph,0,Active learning,Undergraduate,química,experimentación activa,0,2,Case study / survey / pilot,1,1,1,1,1,1,1,,,0,0,0,0,0
VQYX4C58,"Liljaniemi et al., 2025",2025,Journal article,Finland,5,1,0,0,1,1,1,0,1,Immersive (VR/AR/MR),,,,,0,,1,Experiential,Undergraduate,mecatrónica,experimentación activa,0,4,Quasi-experiment,0,0,1,1,1,1,1,,,0,0,1,0,0
TMH74BB2,"Lin et al., 2025",2025,Journal article,Taiwan,4,0,0,1,1,1,1,0,0,,,,,,0,,0,,Undergraduate,automatización,NR,0,5,Experiment,1,1,1,1,1,1,0,,,0,0,0,0,0
2XBEESYC,"Lu et al., 2025",2025,Journal article,China,3,0,0,0,1,1,1,0,0,,,,,,0,,0,Active learning,Graduate,programación,experimentación activa,0,4,Quasi-experiment,1,1,1,1,1,1,1,,,0,0,0,0,0
3FI8CZ85,"Machado et al., 2025",2025,Journal article,Brazil,5,1,1,1,0,0,1,1,0,Remote,,,,,1,Deep/neural; Classical ML; Generative,0,,,,,0,,,0,0,0,0,0,0,0,True,,0,1,0,0,0
GWDAFMH7,"Norambuena et al., 2025",2025,Journal article,Chile,4,1,1,0,1,0,0,1,0,Immersive (VR/AR/MR),3,Digital twin,3,Real-time,0,,1,,,mecatrónica,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
TBVDXJH6,"Ortiz et al., 2025",2025,Journal article,Ecuador,4,1,0,0,1,1,1,0,0,Hybrid physical-virtual,,,,,0,,1,Active learning,Undergraduate,automatización,experimentación activa,0,4,Quasi-experiment,0,0,1,1,1,0,1,,,0,0,0,0,0
76777Q2X,"Sakkas et al., 2025",2025,Journal article,Greece,5,1,1,0,0,1,1,1,0,Virtual-only,2,Digital shadow,3,Real-time,0,,1,Active learning,Undergraduate,,experimentación activa,0,2,Case study / survey / pilot,0,1,0,1,1,1,1,,,0,0,0,0,0
JACDIDHQ,"Veitia et al., 2025",2025,Conference proceedings,France,5,1,0,0,1,1,1,0,1,Immersive (VR/AR/MR),,,,,0,,1,Experiential,Mixed,química,experimentación activa,0,,,0,0,0,0,0,1,0,,,0,0,1,1,1
2G3VN26R,"Vásquez-López et al., 2025",2025,Conference proceedings,Mexico,3,0,0,0,1,1,0,0,1,,,,,,0,,0,Challenge-based,Undergraduate,mecatrónica,proyecto completo de ciclo de vida,1,,,0,0,0,0,0,0,0,,,0,0,1,1,0
M42IKCPV,"Wang et al., 2025a",2025,Journal article,China,5,1,0,0,1,1,1,1,0,Hybrid physical-virtual,,,,,0,,0,Active learning,Undergraduate,energía (eólica/baterías),experimentación activa,1,,,0,0,1,1,0,0,1,,,0,0,0,0,0
VY7P5782,"Wang et al., 2025b",2025,Conference proceedings,China,4,0,0,0,1,1,1,0,1,,,,,,0,,0,Active learning,Undergraduate,ciberseguridad,experimentación activa,0,4,Quasi-experiment,1,1,1,1,1,1,0,,,0,0,0,0,0
5XDK88YB,"Wu, 2025",2025,Journal article,China,4,0,0,0,1,1,1,0,1,,,,,,0,,0,Active learning,Undergraduate,NR,exploración guiada,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
3KBLZJAI,"Xinyi et al., 2025",2025,Journal article,China,4,0,0,0,1,1,1,0,1,,,,,,0,,0,Active learning,Undergraduate,manufactura,proyecto completo de ciclo de vida,1,1,Conceptual / design-development,0,0,0,0,0,0,0,,,0,0,0,1,1
Q4TC3ILQ,"Yin, 2025",2025,Conference proceedings,China,4,0,1,0,1,0,1,0,1,,2,Digital shadow,3,Real-time,0,,0,,,manufactura inteligente,,0,1,Conceptual / design-development,0,0,1,0,1,0,0,,,0,0,0,0,0
V9TXVKGR,"Zhang et al., 2025",2025,Conference proceedings,China,4,0,0,1,1,1,1,0,0,,,,,,1,Deep/neural,0,Active learning,Undergraduate,química,experimentación activa,0,1,Conceptual / design-development,0,0,0,1,1,1,0,,,0,0,0,0,0
FSWUL6I2,"de Melo Freires et al., 2025",2025,Journal article,Brazil,3,0,0,0,0,1,1,1,0,,,,,,0,,0,Active learning,Graduate,,experimentación activa,0,3,Mixed-methods,0,0,1,1,0,1,1,True,Low,0,0,0,0,0
3PCKDEQL,"Bonavolonta et al., 2026",2026,Journal article,Italy,3,1,0,0,0,0,1,1,0,Immersive (VR/AR/MR),,,,,0,,1,,,,,0,,,0,0,0,0,0,0,0,,Reported (unclassified),1,1,0,0,0
E72EWP4S,"García et al., 2026",2026,Journal article,Spain,3,0,1,0,0,1,1,0,0,,,,,,0,,0,Experiential,Undergraduate,,experimentación activa,0,2,Case study / survey / pilot,1,1,0,1,1,1,1,,,0,0,0,0,0
QFQRYWLR,"González-Medina et al., 2026",2026,Conference proceedings,Spain,2,1,0,0,0,0,0,1,0,Virtual-only,,,,,0,,1,,,,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
YXRMLV7A,"Harini S., 2026",2026,Journal article,India,4,1,0,0,0,1,1,0,1,Remote,,,,,0,,0,Active learning,Undergraduate,,experimentación activa,0,3,Mixed-methods,0,0,1,1,0,1,0,,,0,0,0,0,0
Z68IK8T9,"Jiang et al., 2026",2026,Journal article,NR,4,1,1,0,1,0,0,0,1,Hybrid physical-virtual,3,Digital twin,4,Bidirectional,0,,1,,,manufactura,,0,,,0,0,0,0,0,0,0,,,0,0,1,0,0
DD7XCT2V,"Khan et al., 2026",2026,Journal article,NR,3,0,0,0,1,1,1,0,0,,,,,,0,,0,Experiential,Undergraduate,manufactura,experimentación activa,0,3,Mixed-methods,0,1,1,1,1,1,1,,,0,0,0,0,0
LQ8B3L7G,"Kwateng et al., 2026",2026,Journal article,MALAYSIA,5,0,0,0,1,1,1,1,1,,,,,,0,,0,Experiential,Mixed,"manufactura, automatización, control, civil/construcción, energía, HVAC, robótica, mecatrónica, electrónica, programación",proyecto completo de ciclo de vida,1,4,Quasi-experiment,1,1,1,1,1,1,1,,,0,0,1,1,1
M2FXTDEG,"Ortiz et al., 2026",2026,Journal article,Ecuador,5,1,1,0,1,0,1,0,1,Hybrid physical-virtual,3,Digital twin,3,Real-time,0,,1,,,automatización,,0,1,Conceptual / design-development,0,0,1,1,1,1,1,,,0,0,1,0,1
S2WI7K2S,"Park et al., 2026",2026,Journal article,Hong Kong,4,1,0,0,0,1,1,1,0,Immersive (VR/AR/MR),,,,,0,,1,Active learning,Undergraduate,,exploración guiada,0,4,Quasi-experiment,0,0,1,1,0,1,1,,,0,0,0,0,0
C73RZ7X8,"Rigó et al., 2026",2026,Journal article,Slovakia,3,1,1,0,0,0,0,0,1,Hybrid physical-virtual,3,Digital twin,3,Real-time,0,,0,,,,,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0
9T5MJ96J,"Shehadeh et al., 2026",2026,Journal article,Jordan,6,1,0,1,0,1,1,1,1,Immersive (VR/AR/MR),,,,,1,XAI,1,,,,NR,0,1,Conceptual / design-development,0,0,0,0,0,0,0,,,1,0,1,1,1
PI838F5U,"Speicher et al., 2026",2026,Journal article,USA,4,0,0,0,1,1,1,0,1,,,,,,0,,0,Experiential,Undergraduate,manufactura,proyecto completo de ciclo de vida,1,2,Case study / survey / pilot,0,1,1,1,1,1,1,,,0,0,0,0,0
6J8AMAN8,"Álvarez Ariza et al., 2026",2026,Journal article,Colombia,3,0,0,1,0,1,1,0,0,,,,,,1,Classical ML,0,Active learning,Technical/vocational,,experimentación activa,0,2,Case study / survey / pilot,1,1,1,1,0,1,1,,,0,0,0,0,0
