key_documento,paper,T1,T2,T3,T4,T5,T6,T7,T8,n_temas
EA8ZWUTY,Baranov et al. - 2022 - Digital Twin Application in Teaching Students Majoring in Metallurgical Engineering,1,0,0,1,0,0,1,0,3
CCRR3WV2,Barletta et al. - 2025 - Cyber Digital Twin to improve Security Education the RedTeam Knife approach,1,0,1,1,0,0,0,0,3
6XH9DD3P,Boltsi et al. - 2025 - Towards a Novel Digital Twin Framework Proposal Within the Engineering Design Process for Future Eng,0,1,0,1,1,0,0,0,3
3PCKDEQL,Bonavolonta et al. - 2026 - Sustainability comparison between a traditional electronics measurement laboratory and an immersive,1,0,0,0,0,1,1,0,3
8HY5G5V9,Chen y Chen - 2025 - Research on the virtual simulation system of intelligent manufacturing production line teaching base,1,1,0,1,0,0,0,1,4
95CLH3FL,Cortes et al. - 2020 - Digital Pyramid An approach to relate industrial automation and digital twin concepts,0,1,0,1,0,0,0,0,2
6EEVCR6P,Cruz Salazar et al. - 2025 - Adaptive Learning and Interoperability in I4.0 A Case Study of Agent-based Digital Twin with Asset,0,1,1,1,0,0,0,1,4
XMATM5GI,Cuiffi et al. - 2021 - Factory 4.0 Toolkit for Smart Manufacturing Training,0,1,0,1,1,1,0,0,4
8BL4J2HZ,Eriksson et al. - 2022 - Applying Digital Twin Technology in Higher Education An Automation Line Case Study,1,1,0,1,0,0,0,1,4
FSWUL6I2,Federal University of Amazonas et al. - 2025 - Development of a didactic solution for teaching concepts related to Digital Twins using Educational,0,0,0,0,1,1,1,0,3
XRUBK3B6,Fu et al. - 2025 - Computer technology-enhanced digital twin-driven innovation and practice of talent training mode of,0,0,1,1,1,0,0,0,3
AUYHBWNM,Fuertes et al. - 2021 - Environment for Education on Industry 4.0,1,1,1,1,0,0,0,0,4
TVN4S7DC,Gallego y Vallverdú - 2025 - Low-Cost Digital-Twin VR Teleoperation of a 3D-Printed Robotic Arm for STEM Education,1,1,0,1,0,0,1,0,4
E72EWP4S,García et al. - 2026 - Digital Twin for Designing Logic Gates in Minecraft Through Automated Circuit Verification and Real-,0,1,0,0,1,1,0,0,3
QFQRYWLR,González-Medina et al. - 2026 - Virtual Remotes Teaching Laboratories in the Progress of a Sustainable Education,1,0,0,0,0,0,1,0,2
G8SP5KLS,Guo et al. - 2025 - RHL-Butterfly A Scalable IoT-Based Digital Twinning Platform for Embedded Systems and Remote Labora,1,1,0,0,0,0,1,0,3
RGEVSHH7,Hagedorn et al. - 2023 - PROJECT-BASED LEARNING IN ENGINEERING EDUCATION – DEVELOPING DIGITAL TWINS IN A CASE STUDY.,0,0,0,1,1,0,1,0,3
DSC46KTS,Heidarinejad y Srivastava - 2023 - Implication of Developing Digital Twins to Improve Students' Learning Experiences,1,0,0,1,1,0,0,0,3
RF7G2HYJ,Hu et al. - 2025 - A desktop learning factory for smart and resilient manufacturing based on digital twin and AI,1,1,1,1,1,0,1,0,6
XNXBTF6L,Häfner et al. - 2024 - An Adaptive Learning Environment for Industry 4.0 Competencies Based on a Learning Factory and Its I,1,0,0,1,1,0,0,0,3
Z68IK8T9,Jiang et al. - 2026 - A six-dimensional digital twin model for flexible manufacturing systems in engineering education,1,1,0,1,0,0,0,1,4
H4UKEM4U,Keaveney et al. - 2021 - Development and Implementation of a Digital Manufacturing Demonstrator for Engineering Education,0,1,0,1,1,0,0,0,3
DD7XCT2V,Khan et al. - 2026 - In Teaching Lean Manufacturing with Digital Twin A Modern Approach to Engineering Education,0,0,0,1,1,1,0,0,3
UDMDFTPK,Kumarasinghe et al. - 2025 - Transforming Computer Integrated Manufacturing Facility to Use as a Digital Twin Enabled Learning Fa,1,1,0,0,1,0,1,1,5
LQ8B3L7G,Kwateng y Leong - 2026 - Enhancing engineering learning through digital twin and IoT applications Student engagement and ind,0,0,0,1,1,1,1,1,5
ZWFNABKK,Li - 2025 - Exploration of An Intelligent Teaching System for the Post-Lithium Battery Course Empowered by AI,0,0,1,1,1,1,0,0,4
44H5ZW4K,Liljaniemi y Paavilainen - 2020 - Using Digital Twin Technology in Engineering Education – Course Concept to Explore Benefits and Barr,0,0,0,1,1,1,0,1,4
VQYX4C58,Liljaniemi y Paavilainen - 2025 - Enhancing engineering education through immersive environments-a study of the Holodeck VR system in,1,0,0,1,1,1,0,1,5
TMH74BB2,Lin et al. - 2025 - VisFactory Adaptive Multimodal Digital Twin with Integrated Visual-Haptic-Auditory Analytics for In,0,0,1,1,1,1,0,0,4
2XBEESYC,Lu y Hu - 2025 - Digital Twin-Enhanced Programming Education An Empirical Study on Learning Engagement and Skill Acq,0,0,0,1,1,1,0,0,3
3FI8CZ85,Machado et al. - 2025 - Automatic Correction System for Learning Activities in Remote-Access Laboratories in the Mechatronic,1,1,1,0,0,1,1,0,5
3ZV8INI7,Morris y Wagner - 2023 - Application of Extracurricular Course Teaching Product Lifecycle Management Concepts to Undergraduat,0,0,0,1,1,0,0,1,3
6SLCII6M,Mourtzis et al. - 2022 - A hybrid teaching factory model towards personalized education 4.0,1,0,0,0,1,0,1,1,4
Z3CB6MW8,Nikolaev et al. - 2018 - Implementation of “digital twin” concept for modern project-based engineering education,0,0,0,1,1,0,0,0,2
4TBGS9I4,Ning et al. - 2024 - Exploration of the Application and Practice of Digital Twin Technology in Teaching Driven by Smart C,0,0,0,1,1,1,0,0,3
GWDAFMH7,Norambuena et al. - 2025 - Integrating Digital Twins of Engineering Labs into Multi-User Virtual Reality Environments.,1,1,0,1,0,0,1,0,4
TBVDXJH6,Ortiz et al. - 2025 - Digital Twin-Based Active Learning for Industrial Process Control and Supervision in Industry 4.0.,1,0,0,1,1,1,0,0,4
M2FXTDEG,Ortiz et al. - 2026 - Real-Time Digital Twin Architecture for Immersive Industrial Automation Training,1,1,0,1,0,1,0,1,5
UGRYS3CL,Pang et al. - 2022 - Remote Laboratory as an Educational Tool in Robotics Experimental Course,1,0,0,0,1,1,1,0,4
S2WI7K2S,Park et al. - 2026 - AR Tunnel An augmented-reality digital twin for immersive learning of wind tunnel laboratories,1,0,0,0,1,1,1,0,4
79J2MH8T,Posio et al. - 2023 - EXPERIENCES AND LEARNING OUTCOMES OF USING VIRTUAL REALITY IN BUILDING SERVICES ENGINEERING EDUCATIO,1,0,0,1,1,1,0,0,4
PG2CBLTM,Promyoo et al. - 2019 - Innovative digital manufacturing curriculum for industry 4.0,0,1,0,1,1,0,0,1,4
YZHXUBN7,Riess et al. - 2023 - A DIGITAL LEARNING ENVIRONMENT TWIN OF A LAB ON PROTOTYPING TO GIVE ENGINEERING STUDENTS DIGITAL ACC,1,0,0,0,1,1,1,0,4
C73RZ7X8,Rigó et al. - 2026 - Digital Twin of a Material Handling System Based on a Physical Construction-Kit Model for Educationa,1,1,0,0,0,0,0,1,3
YXRMLV7A,"S - 2026 - A Study On Impact Of Remote, Twin-Based Labs On Student Performance And Engagement",1,0,0,0,1,1,0,1,4
76777Q2X,Sakkas et al. - 2025 - Multiplayer Virtual Labs for Electronic Circuit Design A Digital Twin-Based Learning Approach,1,1,0,0,1,1,1,0,5
9T5MJ96J,"Shehadeh et al. - 2026 - Emerging WEFE technologies in engineering education Integration of optimization, explainable AI, di",1,0,1,0,1,1,1,1,6
PI838F5U,Speicher et al. - 2026 - Digital twin technology for engineering education An experiential learning case study,0,0,0,1,1,1,0,1,4
3ZZDNR2Z,"Szántó et al. - 2024 - Development of an Immersive, Digital Twin-Supported Smart Reconfigurable Educational Platform for Ma",1,1,0,1,1,0,0,1,5
ASVWVQ3C,Tarng et al. - 2024 - Application of Virtual Reality in Developing the Digital Twin for an Integrated Robot Learning Syste,1,1,0,0,1,1,0,1,5
ZMKNFA6J,Terkaj et al. - 2024 - A framework for the design and use of virtual labs in digital engineering education.,1,1,0,0,1,1,1,1,6
BY9KWQ9X,Terkaj et al. - 2024 - Virtual labs for higher education in industrial engineering.,1,0,0,1,1,1,1,0,5
P242H59T,Tjahyadi et al. - 2023 - Digital Twin Based Laboratory for Control Engineering Education,1,1,0,1,0,0,0,1,4
4S7PWRLU,Toivonen et al. - 2018 - The FMS Training Center - A versatile learning environment for engineering education,1,1,0,1,1,0,0,1,5
HM4FMFEF,Usman et al. - 2023 - Re-envisioning Field Surveying as an Immersive Gamification Experience,1,0,0,1,1,1,0,0,4
JACDIDHQ,Veitia et al. - 2025 - When Virtual Reality Reinvents Training The Cnam Bet with CAP’VR,1,0,0,1,1,1,0,1,5
2G3VN26R,Vásquez-López et al. - 2025 - Enhancing Engineering Education through Digital Twins and Interdisciplinary Collaboration,0,0,0,1,1,0,0,1,3
M42IKCPV,Wang et al. - 2025 - Digital Empowerment Reform of Wind Farm Curriculum Design Based on Virtual Reality Integration,1,0,0,1,1,1,1,0,5
VY7P5782,Wang et al. - 2025 - Innovative Exploration of the “Four-Dimensional Linkage” Teaching System of Network Security Based o,0,0,0,1,1,1,0,1,4
5XDK88YB,Wu - 2025 - Teaching Reform Practices of Quality and Engineering Management in the Context of Curriculum-based I,0,0,0,1,1,1,0,1,4
3KBLZJAI,Xinyi y Liye - 2025 - Teaching Reform and Reflections on Industrial IoT Curriculum under the Dual Needs of Industry 4.0 an,0,0,0,1,1,1,0,1,4
Q4TC3ILQ,Yin - 2025 - Research on the Design and Development of Intelligent Manufacturing Production Platform Based on Dig,0,1,0,1,0,1,0,1,4
V9TXVKGR,Zhang et al. - 2025 - AI-Driven Reconstruction and Optimization of Teaching Model for Fault Detection and Diagnosis in Ind,0,0,1,1,1,1,0,0,4
GHSMNFS4,Zhou et al. - 2024 - Applications of augmented reality (AR) in chemical engineering education Virtual laboratory work de,1,0,0,1,1,0,0,1,4
6J8AMAN8,Álvarez Ariza y Hernández Hernández - 2026 - Investigating the Impact of Education 4.0 and Digital Learning on Students' Learning Outcomes in Eng,0,0,1,0,1,1,0,0,3
